title,native_title,rating,genres,directors,screenwriters,episodes,aired,aired_on,original_network,duration,content_rat,rank,popularity,watchers
Pachinko(2022),Pachinko,8.4,"['Historical', 'Romance', 'Drama', 'Melodrama']",,['Soo Hugh'],8,"Mar 25, 2022 - Apr 29, 2022",Friday,,54 min.,15+ - Teens 15 or older,#846,#856,"19,006"
See You in My 19th Life(2023),이번 생도 잘 부탁해,8.4,"['Comedy', 'Romance', 'Drama', 'Fantasy']",['Lee Na Jung'],"['Han Ah Reum', 'Choi Young Rim']",12,"Jun 17, 2023 - Jul 23, 2023","Saturday, Sunday","['Netflix', 'TVING', 'tvN']",1 hr. 10 min.,15+ - Teens 15 or older,#833,#157,"59,827"
Train(2020),트레인,8.4,"['Thriller', 'Mystery', 'Fantasy']",['Lee Seung Hoon'],['Park Ga Yun'],12,"Jul 11, 2020 - Aug 16, 2020","Saturday, Sunday",['OCN'],60 min.,15+ - Teens 15 or older,#850,#726,"21,425"
Amanza(2020),아만자,8.4,"['Adventure', 'Life', 'Fantasy', 'Melodrama']",['Han Ji Won'],['Kwak Jae Min'],10,"Sep  1, 2020 - Nov  3, 2020",Tuesday,['Daum Kakao TV'],15 min.,15+ - Teens 15 or older,#872,#3012,"4,783"
The Mysterious Class(2021),남고괴담,8.3,"['Mystery', 'Horror', 'Youth', 'Supernatural']",['Ha Han Me'],,8,"Nov 12, 2021 - Dec 31, 2021",Friday,,20 min.,Not Yet Rated,#968,#1896,"8,399"
A Time Called You(2023),너의 시간 속으로,8.4,"['Thriller', 'Mystery', 'Romance', 'Fantasy']",['Kim Jin Won'],['Choi Hyo Bi'],12,"Sep  8, 2023",Friday,['Netflix'],60 min.,15+ - Teens 15 or older,#873,#291,"42,382"
Extracurricular(2020),인간수업,8.4,"['Psychological', 'Crime', 'Youth', 'Drama']",['Kim Jin Min'],['Jin Han Sae'],10,"Apr 29, 2020",Wednesday,['Netflix'],55 min.,18+ Restricted (violence & profanity),#881,#99,"77,646"
Wonderful World(2024),원더풀 월드,8.3,"['Thriller', 'Mystery', 'Drama']",['Lee Seung Young'],['Kim Ji Eun'],14,"Mar  1, 2024 - Apr 13, 2024","Friday, Saturday",['MBC'],1 hr. 10 min.,15+ - Teens 15 or older,#934,#884,"18,405"
The Penthouse: Hidden Room - Hidden Story(2021),펜트하우스 히든룸 - 숨겨진 이야기,8.3,['Documentary'],,,1,"Jan 12, 2021",Tuesday,['SBS'],1 hr. 30 min.,15+ - Teens 15 or older,#938,#4589,"2,636"
Summer Strike(2022),아무것도 하고 싶지 않아,8.4,"['Romance', 'Life', 'Drama', 'Melodrama']",['Lee Yoon Jung'],,12,"Nov 21, 2022 - Dec 26, 2022",Monday,"['ENA', 'Genie TV']",50 min.,15+ - Teens 15 or older,#882,#390,"34,541"
"From Now On, Showtime!(2022)","지금부터, 쇼타임!",8.4,"['Mystery', 'Comedy', 'Romance', 'Fantasy']","['Lee Hyung Min', 'Jung Sang Hee']",['Ha Yoon Ah'],16,"Apr 23, 2022 - Jun 12, 2022","Saturday, Sunday","['MBC', 'ViuTV']",1 hr. 13 min.,15+ - Teens 15 or older,#884,#591,"25,137"
Sell Your Haunted House(2021),대박부동산,8.3,"['Thriller', 'Mystery', 'Comedy', 'Fantasy']",['Park Jin Suk'],"['Ha Soo Jin', 'Jung Yeon Seo', 'Lee Young Hwa']",16,"Apr 14, 2021 - Jun  9, 2021","Wednesday, Thursday",['KBS2'],1 hr. 10 min.,15+ - Teens 15 or older,#941,#503,"28,275"
Lie After Lie(2020),거짓말의 거짓말,8.3,"['Thriller', 'Romance', 'Melodrama']",['Kim Jung Kwon'],['Kim Ji Eun'],16,"Sep  4, 2020 - Oct 24, 2020","Friday, Saturday","['Channel A', 'Wavve']",1 hr. 9 min.,15+ - Teens 15 or older,#931,#1334,"12,377"
Tale of the Nine-Tailed(2020),구미호뎐,8.4,"['Thriller', 'Horror', 'Romance', 'Fantasy']","['Kang Shin Hyo', 'Jo Nam Hyung']",['Han Woo Ri'],16,"Oct  7, 2020 - Dec  3, 2020","Wednesday, Thursday",['tvN'],1 hr. 10 min.,15+ - Teens 15 or older,#896,#46,"103,665"
Military Prosecutor Doberman(2022),군검사 도베르만,8.4,"['Action', 'Military', 'Mystery', 'Law']",['Jin Chang Gyu'],['Yoon Hyun Ho'],16,"Feb 28, 2022 - Apr 26, 2022","Monday, Tuesday",['tvN'],1 hr. 5 min.,15+ - Teens 15 or older,#898,#575,"25,948"
Birthcare Center(2020),산후조리원,8.3,"['Comedy', 'Life', 'Drama', 'Melodrama']",['Park Soo Won'],"['Kim Ji Soo', 'Yoon Soo Min', 'Im Yeon Soo']",8,"Nov  2, 2020 - Nov 24, 2020","Monday, Tuesday",['tvN'],1 hr. 5 min.,15+ - Teens 15 or older,#923,#1538,"10,556"
