title,native_title,rating,genres,directors,screenwriters,episodes,aired,aired_on,original_network,duration,content_rat,rank,popularity,watchers
Blue Birthday(2021),블루버스데이,8.2,"['Thriller', 'Romance', 'Drama', 'Fantasy']",['Park Dhan Hee'],,16,"Jul 23, 2021 - Sep 11, 2021","Friday, Saturday","['Naver TV Cast', 'Viki']",20 min.,15+ - Teens 15 or older,#1526,#696,"22,243"
18 Again｜Serim High After School Activity(2020),18 어게인｜세림고 방과 후 특별활동,8.2,['Comedy'],,,4,"Oct  5, 2020 - Oct 16, 2020",,,6 min.,G - All Ages,#1513,#11018,598
May I Help You(2022),일당백집사,8.2,"['Mystery', 'Romance', 'Drama', 'Supernatural']",['Shim So Yeon'],['Lee Seon Hye'],16,"Oct 19, 2022 - Dec 22, 2022","Wednesday, Thursday","['MBC', 'Wavve']",1 hr. 10 min.,15+ - Teens 15 or older,#1450,#525,"27,488"
When the Weather Is Fine(2020),날씨가 좋으면 찾아가겠어요,8.2,"['Romance', 'Life', 'Drama', 'Melodrama']",['Han Ji Seung'],['Han Ga Ram'],16,"Feb 24, 2020 - Apr 21, 2020","Monday, Tuesday","['jTBC', 'Viki']",60 min.,15+ - Teens 15 or older,#1523,#187,"53,891"
The Uncanny Return(2021),경이로운귀환,8.2,"['Mystery', 'Comedy', 'Fantasy', 'Documentary']",,,1,"Feb  7, 2021",Sunday,"['OCN', 'tvN']",2 hr. 11 min.,15+ - Teens 15 or older,#1520,#6815,"1,419"
"Fanletter, Please(2022)",팬레터를 보내주세요,8.2,"['Comedy', 'Romance']",['Jung Sang Hee'],,4,"Nov 18, 2022 - Nov 26, 2022","Friday, Saturday",['MBC'],1 hr. 2 min.,15+ - Teens 15 or older,#1553,#1451,"11,211"
Semantic Error(2022),시맨틱 에러,8.2,"['Comedy', 'Romance', 'Life', 'Youth']",['Kim Soo Jung'],['Jason'],8,"Feb 16, 2022 - Mar 10, 2022","Wednesday, Thursday",['Watcha'],25 min.,13+ - Teens 13 or older,#1479,#130,"65,655"
Thirty-Nine(2022),"서른, 아홉",8.2,"['Romance', 'Life', 'Drama']",['Kim Sang Ho'],['Yoo Young Ah'],12,"Feb 16, 2022 - Mar 31, 2022","Wednesday, Thursday","['jTBC', 'Netflix']",1 hr. 18 min.,15+ - Teens 15 or older,#1490,#465,"29,709"
Agency(2023),대행사,8.2,"['Business', 'Life', 'Drama']",['Lee Chang Min'],['Song Soo Han'],16,"Jan  7, 2023 - Feb 26, 2023","Saturday, Sunday",['jTBC'],1 hr. 5 min.,Not Yet Rated,#1475,#1785,"8,939"
Bad Prosecutor(2022),진검승부,8.2,"['Action', 'Mystery', 'Comedy', 'Law']","['Kim Sung Ho', 'Choi Yeon Soo']",['Im Young Bin'],12,"Oct  5, 2022 - Nov 10, 2022","Wednesday, Thursday","['KBS2', 'Wavve']",1 hr. 1 min.,15+ - Teens 15 or older,#1499,#1104,"15,030"
Jazz for Two(2024),재즈처럼,8.2,"['Music', 'Romance', 'Youth']",['Kang Hye Rim'],,8,"Mar 26, 2024 - Mar 29, 2024","Tuesday, Wednesday, Thursday, Friday","['TVING', 'Wavve']",30 min.,15+ - Teens 15 or older,#1483,#978,"16,606"
Bloody Heart(2022),붉은 단심,8.2,"['Historical', 'Drama', 'Political']",['Yoo Young Eun'],['Park Pil Joo'],16,"May  2, 2022 - Jun 21, 2022","Monday, Tuesday",['KBS2'],1 hr. 6 min.,15+ - Teens 15 or older,#1542,#1468,"11,033"
Find Me in Your Memory(2020),그 남자의 기억법,8.2,"['Romance', 'Drama', 'Melodrama']","['Oh Hyun Jong', 'Lee Soo Hyun']",['Kim Yoon Joo'],32,"Mar 18, 2020 - May 13, 2020","Wednesday, Thursday",['MBC'],35 min.,15+ - Teens 15 or older,#1505,#358,"36,955"
Light on Me(2021),새빛남고 학생회,8.2,"['Romance', 'Youth', 'Drama']",['Lee Yoo Yeon'],['Lee Ji Eum'],16,"Jun 29, 2021 - Aug 19, 2021","Tuesday, Thursday",['Viki'],24 min.,13+ - Teens 13 or older,#1594,#259,"44,803"
Hyena(2020),하이에나,8.2,"['Mystery', 'Comedy', 'Law', 'Romance']",['Jang Tae Yoo'],['Kim Roo Ri'],16,"Feb 21, 2020 - Apr 11, 2020","Friday, Saturday","['Netflix', 'SBS']",1 hr. 10 min.,15+ - Teens 15 or older,#1564,#815,"19,630"
Drama Festa: Hello Dracula(2020),안녕 드라큘라,8.2,"['Drama', 'Melodrama']",['Kim Da Ye'],,2,"Feb 17, 2020 - Feb 18, 2020","Monday, Tuesday",['jTBC'],1 hr. 10 min.,15+ - Teens 15 or older,#1611,#5563,"1,952"
SF8: Joan's Galaxy(2020),에스에프에잇: 우주인 조안,8.2,"['Life', 'Youth', 'Sci-Fi']",['Lee Yoon Jung'],,1,"Aug 28, 2020",Friday,"['MBC', 'Wavve']",54 min.,15+ - Teens 15 or older,#1670,#5393,"2,045"
A Breeze of Love(2023),일기예보적연애,8.1,"['Romance', 'Sports']",['Kim Ah Young'],,8,"Nov 10, 2023",Friday,,18 min.,13+ - Teens 13 or older,#1768,#1047,"15,799"
My Lovely Liar(2023),소용없어 거짓말,8.2,"['Mystery', 'Comedy', 'Romance', 'Supernatural']","['Noh Young Sub', 'Nam Sung Woo']",['Seo Jung Eun'],16,"Jul 31, 2023 - Sep 19, 2023","Monday, Tuesday",['tvN'],1 hr. 5 min.,15+ - Teens 15 or older,#1607,#209,"50,952"
Lovers of the Red Sky(2021),홍천기,8.2,"['Historical', 'Romance', 'Drama', 'Fantasy']","['Jang Tae Yoo', 'Nam Tae Jin']",['Kim Young Young'],16,"Aug 30, 2021 - Oct 26, 2021","Monday, Tuesday","['SBS', 'Viki', 'ViuTV']",1 hr. 10 min.,15+ - Teens 15 or older,#1617,#387,"34,843"
Black Knight(2023),택배기사,8.1,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Cho Ui Seok'],,6,"May 12, 2023",Friday,['Netflix'],42 min.,15+ - Teens 15 or older,#1724,#515,"27,900"
"Work Later, Drink Now Season 2(2022)",술꾼도시여자들 시즌2,8.1,"['Comedy', 'Life', 'Drama']",['Park Soo Won'],['Wi So Young'],12,"Dec  9, 2022 - Jan 13, 2023",Friday,['TVING'],38 min.,18+ Restricted (violence & profanity),#1720,#2219,"6,881"
Our Beloved Summer: The Documentary(2022),전교 꼴등과 전교 1등의 슬기로운 학교생활,8.2,"['Comedy', 'Romance', 'Documentary']",['Kim Yoon Jin'],['Lee Na Eun'],1,"Jan 25, 2022",,['SBS'],35 min.,Not Yet Rated,#1585,#8200,"1,036"
Uncle(2021),엉클,8.2,"['Music', 'Comedy', 'Drama']","['Ji Young Soo', 'Seong Do Joon']",['Park Ji Sook'],16,"Dec 11, 2021 - Jan 30, 2022","Saturday, Sunday","['TV Chosun', 'Wavve']",1 hr. 10 min.,15+ - Teens 15 or older,#1660,#3304,"4,199"
To My Star Season 2: Our Untold Stories(2022),나의 별에게2 : 우리의 못다 한 이야기,8.2,"['Romance', 'Drama']",['Hwang Da Seul'],['Park Young'],10,"Jun  5, 2022 - Jul  3, 2022",Sunday,['Viki'],25 min.,15+ - Teens 15 or older,#1665,#581,"25,669"
Inspector Koo(2021),구경이,8.2,"['Action', 'Thriller', 'Mystery', 'Comedy']",['Lee Jung Heum'],['Sung Cho Yi'],12,"Oct 30, 2021 - Dec 12, 2021","Saturday, Sunday","['jTBC', 'Netflix']",1 hr. 10 min.,15+ - Teens 15 or older,#1661,#1063,"15,693"
Zombie Detective(2020),좀비탐정,8.1,"['Thriller', 'Mystery', 'Comedy', 'Fantasy']",['Shim Jae Hyun'],['Baek Eun Jin'],24,"Sep 21, 2020 - Oct 27, 2020","Monday, Tuesday","['KBS2', 'Wavve']",30 min.,15+ - Teens 15 or older,#1753,#658,"23,409"
The Good Detective Season 2(2022),모범형사2,8.1,"['Action', 'Thriller', 'Mystery', 'Drama']",['Jo Nam Gook'],['Choi Jin Won'],16,"Jul 30, 2022 - Sep 18, 2022","Saturday, Sunday","['ENA', 'jTBC']",1 hr. 10 min.,15+ - Teens 15 or older,#1722,#2285,"6,660"
Search(2020),써치,8.1,"['Military', 'Thriller', 'Mystery', 'Horror']",['Im Dae Woong'],"['Goo Mo', 'Go Myung Joo']",10,"Oct 17, 2020 - Nov 15, 2020","Saturday, Sunday",['OCN'],60 min.,15+ - Teens 15 or older,#1709,#865,"18,839"
Jirisan(2021),지리산,8.1,"['Thriller', 'Mystery', 'Drama', 'Fantasy']",['Lee Eung Bok'],['Kim Eun Hee'],16,"Oct 23, 2021 - Dec 12, 2021","Saturday, Sunday","['iQiyi', 'tvN']",1 hr. 10 min.,15+ - Teens 15 or older,#1728,#603,"24,887"
All of Us Are Dead Zombie Exam(2022),지금 우리 학교는 좀비 모의고사,8.1,['Documentary'],,,2,"Feb  4, 2022",Friday,,15 min.,Not Yet Rated,#1788,#9311,827
Live On(2020),라이브온,8.1,"['Comedy', 'Romance', 'Youth', 'Drama']",['Kim Sang Woo'],['Bang Yoo Jung'],8,"Nov 17, 2020 - Jan 12, 2021",Tuesday,"['jTBC', 'Naver TV Cast', 'Viki']",1 hr. 3 min.,15+ - Teens 15 or older,#1859,#548,"26,778"
My Holo Love(2020),나 홀로 그대,8.1,"['Romance', 'Drama', 'Sci-Fi', 'Melodrama']","['Lee Sang Yeob', 'Yoon Jong Ho']","['Ryu Yong Jae', 'Kim Hwan Chae', 'Choi Sung Joon']",12,"Feb  7, 2020",Friday,['Netflix'],55 min.,15+ - Teens 15 or older,#1742,#167,"58,183"
Chimera(2021),키마이라,8.1,"['Thriller', 'Mystery']",['Kim Do Hoon'],['Lee Jin Mae'],16,"Oct 30, 2021 - Dec 19, 2021","Saturday, Sunday",['OCN'],1 hr. 5 min.,15+ - Teens 15 or older,#1791,#1832,"8,702"
Destined with You(2023),이 연애는 불가항력,8.1,"['Comedy', 'Romance', 'Drama', 'Fantasy']",['Nam Ki Hoon'],['Noh Ji Sul'],16,"Aug 23, 2023 - Oct 12, 2023","Wednesday, Thursday","['jTBC', 'Netflix']",1 hr. 10 min.,15+ - Teens 15 or older,#1764,#223,"49,794"
The Secret Romantic Guesthouse(2023),꽃선비 열애사,8.1,"['Historical', 'Mystery', 'Romance', 'Drama']",['Kim Jung Min'],['Kwon Eum Mi'],18,"Mar 20, 2023 - May 16, 2023","Monday, Tuesday","['SBS', 'ViuTV']",1 hr. 10 min.,15+ - Teens 15 or older,#1795,#1161,"14,316"
Into the Ring(2020),출사표,8.1,"['Comedy', 'Romance', 'Drama', 'Political']","['Hwang Seung Gi', 'Choi Yeon Soo']",['Moon Hyun Kyung'],32,"Jul  1, 2020 - Aug 20, 2020","Wednesday, Thursday",['KBS2'],35 min.,15+ - Teens 15 or older,#1803,#836,"19,349"
Behind Your Touch(2023),힙하게,8.1,"['Thriller', 'Mystery', 'Comedy', 'Supernatural']","['Kim Seok Yoon', 'Choi Bo Yoon']","['Lee Nam Gyu', 'Oh Bo Hyun', 'Kim Da Hee']",16,"Aug 12, 2023 - Oct  1, 2023","Saturday, Sunday",['jTBC'],1 hr. 5 min.,15+ - Teens 15 or older,#1757,#590,"25,209"
The King: Eternal Monarch(2020),더 킹: 영원의 군주,8.1,"['Mystery', 'Romance', 'Drama', 'Sci-Fi']","['Baek Sang Hoon', 'Yoo Je Won', 'Jung Ji Hyun']",['Kim Eun Sook'],16,"Apr 17, 2020 - Jun 12, 2020","Friday, Saturday","['Netflix', 'SBS']",1 hr. 10 min.,15+ - Teens 15 or older,#1765,#44,"104,161"
Why Her?(2022),왜 오수재인가,8.1,"['Mystery', 'Law', 'Romance', 'Melodrama']",['Park Soo Jin'],,16,"Jun  3, 2022 - Jul 23, 2022","Friday, Saturday","['SBS', 'Viki', 'ViuTV']",1 hr. 10 min.,15+ - Teens 15 or older,#1798,#368,"35,937"
Persona: Sulli(2023),페르소나: 설리,8.1,"['Drama', 'Documentary']","['Jung Yoon Suk', 'Hwang Soo Ah']",['Kim Ji Hye'],2,"Nov 13, 2023",Monday,['Netflix'],1 hr. 5 min.,13+ - Teens 13 or older,#1799,#7858,"1,123"
Start-Up(2020),스타트업,8.1,"['Business', 'Comedy', 'Romance', 'Youth']",['Oh Choong Hwan'],['Park Hye Ryun'],16,"Oct 17, 2020 - Dec  6, 2020","Saturday, Sunday","['Netflix', 'tvN']",1 hr. 25 min.,15+ - Teens 15 or older,#1869,#51,"101,844"
The Silent Sea(2021),고요의 바다,8.1,"['Thriller', 'Mystery', 'Horror', 'Sci-Fi']",['Choi Hang Yong'],['Park Eun Kyo'],8,"Dec 24, 2021",Friday,['Netflix'],50 min.,15+ - Teens 15 or older,#1847,#403,"33,597"
A Piece of Your Mind(2020),반의 반,8.1,"['Romance', 'Life', 'Drama', 'Melodrama']",['Lee Sang Yeob'],['Lee Sook Yun'],12,"Mar 23, 2020 - Apr 28, 2020","Monday, Tuesday",['tvN'],1 hr. 11 min.,15+ - Teens 15 or older,#1814,#383,"35,055"
The Penthouse Season 3: Hidden Room - The Beginning of the End(2021),펜트하우스 III 히든룸 - 끝의 시작,8.1,['Documentary'],,,1,"Jun  2, 2021",Wednesday,['SBS'],1 hr. 14 min.,15+ - Teens 15 or older,#1866,#6274,"1,618"
One the Woman(2021),원 더 우먼,8.1,"['Mystery', 'Comedy', 'Romance', 'Drama']",['Choi Young Hoon'],['Kim Yoon'],16,"Sep 17, 2021 - Nov  6, 2021","Friday, Saturday","['SBS', 'Wavve']",1 hr. 10 min.,15+ - Teens 15 or older,#1838,#1061,"15,712"
Idol: The Coup(2021),아이돌: 더 쿠데타,8.1,"['Music', 'Youth', 'Drama']",['Noh Jong Chan'],['Jung Yoon Jung'],12,"Nov  8, 2021 - Dec 14, 2021","Monday, Tuesday","['iQiyi', 'jTBC']",1 hr. 25 min.,15+ - Teens 15 or older,#1885,#1720,"9,373"
Our Blooming Youth(2023),청춘월담,8.1,"['Historical', 'Mystery', 'Romance', 'Drama']",['Lee Jong Jae'],['Jung Hyun Jung'],20,"Feb  6, 2023 - Apr 11, 2023","Monday, Tuesday","['TVING', 'tvN']",1 hr. 20 min.,15+ - Teens 15 or older,#1853,#682,"22,709"
Growing Season(2020),잘 하고 싶어,8.1,"['Romance', 'Life', 'Youth', 'Drama']",['Yoo Hee Woon'],['Kim Hee Won'],12,"Dec 10, 2020 - Jan 15, 2021","Thursday, Friday","['Naver TV Cast', 'vLive']",20 min.,15+ - Teens 15 or older,#1948,#2319,"6,541"
Café Minamdang(2022),미남당,8.1,"['Mystery', 'Comedy', 'Romance']","['Go Jae Hyun', 'Yoon Ra Young']",['Park Hye Jin'],18,"Jun 27, 2022 - Aug 23, 2022","Monday, Tuesday","['KBS2', 'Netflix']",1 hr. 3 min.,15+ - Teens 15 or older,#1929,#377,"35,261"
Flower of Evil Special(2020),악의 꽃,8.1,"['Thriller', 'Documentary']",,,1,"Sep  3, 2020",Thursday,['tvN'],60 min.,15+ - Teens 15 or older,#2013,#6498,"1,533"
Miraculous Brothers(2023),기적의 형제,8.1,"['Mystery', 'Drama', 'Fantasy', 'Supernatural']",['Park Chan Hong'],['Kim Ji Woo'],16,"Jun 28, 2023 - Aug 17, 2023","Wednesday, Thursday",['jTBC'],1 hr. 10 min.,Not Yet Rated,#1756,#1852,"8,614"
On the Verge of Insanity(2021),미치지않고서야,8.1,"['Comedy', 'Life', 'Drama']",['Choi Jung In'],['Jung Do Yoon'],16,"Jun 23, 2021 - Aug 26, 2021","Wednesday, Thursday",['MBC'],1 hr. 10 min.,15+ - Teens 15 or older,#1940,#3608,"3,754"
Maestra: Strings of Truth(2023),마에스트라,8.1,"['Music', 'Thriller', 'Mystery', 'Drama']",['Kim Jung Kwon'],['Choi Yi Yoon'],12,"Dec  9, 2023 - Jan 14, 2024","Saturday, Sunday",['tvN'],59 min.,15+ - Teens 15 or older,#1913,#3085,"4,680"
Curious Business Proposal Story Y(2022),궁금한 사내맞선 이야기 Y,8.1,['Documentary'],,,1,"Mar 19, 2022",Saturday,['SBS'],1 hr. 10 min.,Not Yet Rated,#1876,#8413,993
To My Star(2021),나의 별에게,8.1,"['Comedy', 'Romance', 'Youth']",['Hwang Da Seul'],['Park Young'],9,"Jan 22, 2021 - Feb  5, 2021",Friday,['Viki'],15 min.,15+ - Teens 15 or older,#2021,#213,"50,316"
Remarriage and Desires(2022),블랙의 신부,8.1,"['Mystery', 'Drama', 'Melodrama']",['Kim Jung Min'],['Lee Geun Young'],8,"Jul 15, 2022",Friday,['Netflix'],60 min.,15+ - Teens 15 or older,#2042,#949,"17,166"
Evilive(2023),악인전기,8.1,"['Thriller', 'Mystery', 'Crime', 'Drama']","['Kim Jung Min', 'Kim Sung Min']","['Lee Seung Hoon', 'Jung Seo Hee']",10,"Oct 14, 2023 - Nov 13, 2023","Monday, Sunday","['ENA', 'Genie TV']",60 min.,18+ Restricted (violence & profanity),#1952,#2211,"6,910"
18 Again｜A Make-up Class in Serim High(2020),18 어게인｜세림고 보충학습,8.1,['Comedy'],,,2,"Oct 30, 2020 - Nov  6, 2020",,,10 min.,G - All Ages,#1988,#12304,482
The Penthouse Season 3: War in Life(2021),펜트하우스 Ⅲ,8.1,"['Thriller', 'Mystery', 'Crime', 'Drama']",['Joo Dong Min'],['Kim Soon Ok'],14,"Jun  4, 2021 - Sep 10, 2021",Friday,['SBS'],1 hr. 15 min.,15+ - Teens 15 or older,#1987,#522,"27,605"
Love Revolution(2020),연애혁명,8.1,"['Comedy', 'Romance', 'Youth', 'Drama']",['Seo Joo Wan'],['Kwak Kyung Yoon'],30,"Sep  1, 2020 - Dec 27, 2020","Thursday, Sunday","['Daum Kakao TV', 'Viki']",21 min.,15+ - Teens 15 or older,#2107,#810,"19,704"
Be My Dream Family(2021),속아도 꿈결,8.1,"['Comedy', 'Romance', 'Drama', 'Family']",['Kim Jung Gyu'],['Yeo Myung Jae'],120,"Mar 29, 2021 - Oct  1, 2021","Monday, Tuesday, Wednesday, Thursday, Friday",['KBS1'],30 min.,15+ - Teens 15 or older,#2015,#5657,"1,902"
The Eighth Sense(2023),여덟 번째 감각,8.1,"['Romance', 'Drama', 'Melodrama']","['Werner du Plessis', 'Inu Baek']",,10,"Mar 29, 2023 - Apr 26, 2023",Wednesday,,36 min.,15+ - Teens 15 or older,#2074,#406,"33,417"
"Link: Eat, Love, Kill(2022)","링크: 먹고 사랑하라, 죽이게",8.1,"['Mystery', 'Romance', 'Drama', 'Fantasy']",['Hong Jong Chan'],"['Kwon Ki Young', 'Kwon Do Hwan']",16,"Jun  6, 2022 - Jul 26, 2022","Monday, Tuesday",['tvN'],1 hr. 10 min.,15+ - Teens 15 or older,#2061,#303,"41,264"
The Witch's Diner(2021),마녀식당으로 오세요,8.1,"['Psychological', 'Life', 'Fantasy', 'Supernatural']","['So Jae Hyun', 'Lee Soo Hyun']",['Lee Young Sook'],8,"Jul 16, 2021 - Aug 13, 2021",Friday,['TVING'],44 min.,15+ - Teens 15 or older,#2129,#652,"23,561"
True to Love(2023),보라! 데보라,8.1,"['Comedy', 'Romance', 'Life', 'Melodrama']","['Seo Min Jung', 'Lee Tae Gon']",['Ah Kyung'],14,"Apr 12, 2023 - May 25, 2023","Wednesday, Thursday","['Amazon Prime', 'ENA', 'TVING']",1 hr. 10 min.,15+ - Teens 15 or older,#2041,#544,"26,935"
Island(2022),아일랜드,8.1,"['Action', 'Thriller', 'Horror', 'Fantasy']",['Bae Jong'],"['Jang Yoon Mi', 'Oh Bo Hyun']",6,"Dec 30, 2022 - Jan 13, 2023",Friday,"['Amazon Prime', 'TVING']",55 min.,15+ - Teens 15 or older,#2096,#302,"41,293"
The Killer's Shopping List(2022),살인자의 쇼핑목록,8.1,"['Thriller', 'Mystery', 'Comedy']",['Lee Eon Hee'],['Han Ji Wan'],8,"Apr 27, 2022 - May 19, 2022","Wednesday, Thursday",['tvN'],1 hr. 5 min.,15+ - Teens 15 or older,#2110,#1400,"11,701"
Blueming(2022),블루밍,8.1,"['Romance', 'Youth', 'Drama']",['Hwang Da Seul'],['Park Young'],11,"Mar 31, 2022",Thursday,['iQiyi'],14 min.,13+ - Teens 13 or older,#2133,#350,"37,422"
Not Others(2023),남남,8.1,"['Mystery', 'Comedy', 'Romance', 'Drama']",['Lee Min Woo'],['Min Sun Ae'],12,"Jul 17, 2023 - Aug 22, 2023","Monday, Tuesday","['ENA', 'Genie TV', 'Hulu']",60 min.,15+ - Teens 15 or older,#2054,#1157,"14,360"
The Law Cafe(2022),법대로 사랑하라,8.1,"['Comedy', 'Law', 'Romance']",['Lee Eun Jin'],"['Im Ji Eun', 'Im Eui Jung']",16,"Sep  5, 2022 - Oct 25, 2022","Monday, Tuesday","['KBS2', 'Viki', 'ViuTV']",1 hr. 3 min.,15+ - Teens 15 or older,#2139,#553,"26,617"
Insider(2022),인사이더,8.0,"['Action', 'Thriller', 'Law']",['Min Yeon Hong'],['Moon Man Se'],16,"Jun  8, 2022 - Jul 28, 2022","Wednesday, Thursday",['jTBC'],1 hr. 4 min.,18+ Restricted (violence & profanity),#2208,#1474,"11,013"
Doctor Cha(2023),닥터 차정숙,8.1,"['Comedy', 'Life', 'Drama', 'Medical']","['Kim Dae Jin', 'Kim Jung Wook']",['Jung Yeo Rang'],16,"Apr 15, 2023 - Jun  4, 2023","Saturday, Sunday","['jTBC', 'Netflix']",60 min.,15+ - Teens 15 or older,#2103,#637,"23,974"
The Raincoat Killer: Chasing a Predator in Korea(2021),레인코트 킬러: 유영철을 추격하다,8.1,"['Mystery', 'Documentary']",,,3,"Oct 22, 2021",Friday,['Netflix'],50 min.,Not Yet Rated,#2085,#5117,"2,214"
Narco-Saints(2022),수리남,8.1,"['Action', 'Thriller', 'Crime']",['Yoon Jong Bin'],['Kwon Sung Hui'],6,"Sep  9, 2022",Friday,['Netflix'],1 hr. 2 min.,18+ Restricted (violence & profanity),#2086,#1751,"9,217"
Night Has Come(2023),밤이 되었습니다,8.1,"['Thriller', 'Mystery', 'Horror', 'Youth']",['Im Dae Woong'],,12,"Dec  4, 2023 - Dec 21, 2023","Monday, Tuesday, Wednesday, Thursday",['Viki'],35 min.,18+ Restricted (violence & profanity),#2091,#713,"21,772"
Choco Milk Shake: Behind Story(2022),behind story 초코밀크쉐이크,8.1,['Comedy'],,,1,"Nov  6, 2022",Sunday,,4 min.,Not Yet Rated,#2063,#11675,535
Secret Royal Inspector(2020),암행어사: 조선비밀수사단,8.0,"['Historical', 'Mystery', 'Comedy', 'Romance']",['Kim Jung Min'],['Park Sung Hoon'],16,"Dec 21, 2020 - Feb  9, 2021","Monday, Tuesday","['iQiyi', 'KBS2']",1 hr. 10 min.,15+ - Teens 15 or older,#2164,#1202,"13,916"
Blood Free(2024),지배종,8.0,"['Thriller', 'Drama', 'Sci-Fi']",['Park Chul Hwan'],['Lee Soo Yeon'],10,"Apr 10, 2024 - May  8, 2024",Wednesday,"['Disney+', 'Hulu']",50 min.,15+ - Teens 15 or older,#2153,#1590,"10,243"
Do You Like Brahms?(2020),브람스를 좋아하세요?,8.0,"['Music', 'Romance', 'Drama', 'Melodrama']",['Jo Young Min'],['Ryu Bo Ri'],16,"Aug 31, 2020 - Oct 20, 2020","Monday, Tuesday",['SBS'],1 hr. 5 min.,15+ - Teens 15 or older,#2149,#445,"30,812"
You Are My Spring(2021),너는 나의 봄,8.0,"['Thriller', 'Mystery', 'Romance', 'Drama']","['Jung Ji Hyun', 'Joo Sang Kyu']",['Lee Mi Na'],16,"Jul  5, 2021 - Aug 24, 2021","Monday, Tuesday","['Netflix', 'tvN']",1 hr. 10 min.,15+ - Teens 15 or older,#2251,#673,"23,021"
The Midnight Studio(2024),야한 사진관,8.0,"['Romance', 'Drama', 'Fantasy']",['Song Hyun Wook'],['Kim Yi Rang'],16,"Mar 11, 2024 - May  6, 2024","Monday, Tuesday","['ENA', 'Genie TV']",60 min.,15+ - Teens 15 or older,#2361,#995,"16,377"
Shadow Detective Season 2(2023),형사록 시즌2,8.0,"['Mystery', 'Drama']",['Han Dong Hwa'],"['Song Jung Woo', 'Hwang Seol Hun']",8,"Jul  5, 2023 - Jul 26, 2023",Wednesday,"['Disney+', 'Hulu']",55 min.,15+ - Teens 15 or older,#2213,#5612,"1,924"
Bossam: Steal the Fate(2021),보쌈-운명을 훔치다,8.0,"['Historical', 'Romance', 'Life', 'Drama']",['Kwon Seok Jang'],"['Kim Ji Soo', 'Park Chul']",20,"May  1, 2021 - Jul  4, 2021","Saturday, Sunday","['MBN', 'Wavve']",1 hr. 5 min.,15+ - Teens 15 or older,#2325,#2030,"7,669"
Anna: Extended Version(2022),안나: 확장판,8.0,"['Thriller', 'Life', 'Drama']",['Lee Joo Young'],,8,"Aug 12, 2022",Friday,['COUPANG TV'],60 min.,15+ - Teens 15 or older,#2204,#4877,"2,396"
Would You Like a Cup of Coffee?(2021),커피 한잔 할까요?,8.0,"['Life', 'Drama']",,,12,"Oct 24, 2021 - Dec  2, 2021","Thursday, Sunday","['Daum Kakao TV', 'Tencent Video']",30 min.,G - All Ages,#2243,#2731,"5,382"
Boys Be Brave!(2024),고백을 못하고,8.0,"['Comedy', 'Romance', 'Life', 'Youth']",['Lim Hyun Hee'],['Lee Shin Won'],8,"Apr 25, 2024 - May 16, 2024",Thursday,,28 min.,15+ - Teens 15 or older,#2368,#1442,"11,286"
Dear.M(2022),디어엠,8.0,"['Romance', 'Life', 'Youth', 'Drama']","['Park Jin Woo', 'Seo Joo Wan']",['Lee Seul'],12,"Jun 29, 2022 - Jul  6, 2022",Wednesday,"['KBS2', 'Viki']",1 hr. 10 min.,15+ - Teens 15 or older,#2431,#494,"28,774"
Kiss Sixth Sense(2022),키스식스센스,8.0,"['Comedy', 'Romance', 'Fantasy', 'Supernatural']",['Nam Ki Hoon'],['Jeon Yoo Ri'],12,"May 25, 2022 - Jun 29, 2022",Wednesday,"['Disney+', 'Hulu']",1 hr. 10 min.,15+ - Teens 15 or older,#2337,#789,"20,067"
Sweet Home Season 2(2023),스위트홈 시즌2,8.0,"['Action', 'Horror', 'Drama', 'Sci-Fi']",['Lee Eung Bok'],,8,"Dec  1, 2023",Friday,['Netflix'],1 hr. 11 min.,18+ Restricted (violence & profanity),#2349,#423,"32,695"
Shadow Beauty(2021),그림자 미녀,8.0,"['Thriller', 'Psychological', 'Romance', 'Drama']",['Bang Soo In'],,13,"Nov 20, 2021 - Dec 29, 2021","Wednesday, Saturday","['Daum Kakao TV', 'Viki']",20 min.,15+ - Teens 15 or older,#2495,#999,"16,347"
Unlock My Boss(2022),사장님을 잠금해제,8.0,"['Thriller', 'Mystery', 'Comedy', 'Fantasy']",['Lee Chul Ha'],['Kim Hyung Min'],12,"Dec  7, 2022 - Jan 12, 2023","Wednesday, Thursday",['ENA'],60 min.,15+ - Teens 15 or older,#2533,#986,"16,524"
Drama Special Season 12: A Moment of Romance(2021),드라마 스페셜 - 딱밤 한 대가 이별에 미치는 영향,8.0,"['Comedy', 'Romance', 'Drama']",['Goo Sung Joon'],['Kim Mi Kyung'],1,"Nov 19, 2021",Friday,['KBS2'],1 hr. 5 min.,15+ - Teens 15 or older,#2432,#3217,"4,368"
The Golden Spoon(2022),금수저,8.0,"['Psychological', 'Drama', 'Fantasy', 'Supernatural']","['Song Hyun Wook', 'Lee Han Joon']","['Kim Eun Hee', 'Yoon Eun Kyung']",16,"Sep 23, 2022 - Nov 12, 2022","Friday, Saturday",['MBC'],1 hr. 20 min.,15+ - Teens 15 or older,#2418,#650,"23,631"
